,en,gr
11,"We have held lengthy discussions on this summit and on the fact that its effectiveness rested on two pillars: one is the European Union, and the other is the OAU.","Συζητήσαμε εκτενώς σχετικά με τη διεξαγωγή της εν λόγω Διάσκεψης Κορυφής, η οποία όμως για να πραγματοποιηθεί στηρίχθηκε σε δύο φορείς: στην Ευρωπαϊκή Ένωση και στον Οργανισμό Αφρικανικής Ενότητας."
12,There is no longer even any question of the creation of a different State; it is history which must change course.,"Δεν μπορούμε πλέον ούτε καν να σκεφτόμαστε ένα διαφορετικό Κράτος, είναι η ίδια η ιστορία αυτή που πρέπει να διανύσουμε με διαφορετικό τρόπο."
13,"""One might conclude that the Commission had decided in some fields to draw a veil over and forget past events.","""Στους κόλπους της Επιτροπής είναι εμφανές ότι για ορισμένους τομείς το σύνθημα ήταν ""Συγκάλυψη και λήθη"" ."
14,"If, however, a right is somehow abused, I am not sure if that abuse has anything to do with democratic ethics.","Αν όμως γίνεται κατάχρηση ενός δικαιώματος, δεν ξέρω αν τελικά αυτή η κατάχρηση έχει σχέση με τις δημοκρατικές δεοντολογίες."
15,"Spare parts for cars and aircraft, toys and pharmaceutical products, all of which endanger the lives of consumers, are to be found on the counterfeit market.","Πράγματι, στην αγορά προϊόντων παραποίησης/απομίμησης κυκλοφορούν ανταλλακτικά για αυτοκίνητα και αεροσκάφη, παιχνίδια, φαρμακευτικά προϊόντα, που ενδέχεται να περικλείουν θανάσιμους κινδύνους για τον καταναλωτή."
16,"We therefore believe that hemp production ought not to be promoted through increased aid, and we are abstaining from voting on Mrs Schierhuber' s report.",Θεωρούμε λοιπόν ότι δεν πρέπει να τονώνεται η παραγωγή κάνναβης με αύξηση της οικονομικής ενίσχυσης και απέχουμε από την ψηφοφορία επί της έκθεσης Schierhuber.
17,"But a nuclear future for Sellafield can be justified: not mixed oxide fuel production, not thermal oxide reprocessing at the MOX and THORP plants.",Μπορεί όμως να δικαιωθεί το μέλλον του Sellafield στον πυρηνικό τομέα χωρίς παραγωγή καυσίμων μεικτού οξειδίου και χωρίς επεξεργασία θερμικού οξειδίου στα εργοστάσια καυσίμων MOX και THORP.
18,"We need to guarantee a fair redistribution of responsibilities and obligations between the two sexes, both in public and private life.","Χρειάζεται να διασφαλίσουμε μια δίκαιη αναδιανομή των ευθυνών και των υποχρεώσεων ανάμεσα στα δύο φύλα, τόσο στη δημόσια όσο και στην ιδιωτική σφαίρα."
19,The Commission also failed to take into account how fleet sizes are reduced. I call for a more thorough investigation by the Commission into this.,Η Επιτροπή παρέλειψε επίσης να λάβει υπόψη τον τρόπο με τον οποίο μειώθηκαν οι στόλοι.
20,"Where Parliament is concerned, we have used our Budget guidelines in order very clearly to designate this area as being one of high priority.","Από πλευράς του Κοινοβουλίου, στις κατευθυντήριες γραμμές για τον προϋπολογισμό έχουμε χαρακτηρίσει με ιδιαίτερη σαφήνεια αυτόν τον τομέα ως τομέα υψηλής προτεραιότητας."
21,I very much hope that in the next five years we will be able to carry that programme forward in Tunisia and the rest of the region.,Τρέφω πολλές ελπίδες ότι μέσα στα επόμενα πέντε χρόνια θα μπορέσουμε να προωθήσουμε αυτό το πρόγραμμα στην Τυνησία και την υπόλοιπη περιοχή.
22,I do not dispute that this decision was correct and I understand the Commission's wish to ensure that projects are completed in time.,Δεν αμφισβητώ την ορθότητα αυτής της απόφασης και κατανοώ την επιθυμία της Επιτροπής να διασφαλίσει την έγκαιρη ολοκλήρωση των σχεδίων.
23,"We also think it is good that all forms of organised crime, and not only drug trafficking, are to be regarded as predicate offences.","Επίσης, θεωρούμε καλό ότι στον κατάλογο παρανόμων δραστηριοτήτων δεν περιλαμβάνεται μόνο το εμπόριο ναρκωτικών αλλά όλες οι μορφές οργανωμένου εγκλήματος."
24,"The objective of improving competition and lowering prices for all consumer groups, including the end consumer, must be pursued assiduously.",Η βελτίωση της ανταγωνιστικότητας και η μείωση των τιμών και για τον τελικό καταναλωτή είναι ένας στόχος που πρέπει να επιδιώξουμε με μεγάλη φροντίδα.
25,In fact those in France who have studied the subject in depth may well decide to buy British as the safest and tastiest option.,"Στην πραγματικότητα, όσοι έχουν μελετήσει το θέμα σε βάθος στη Γαλλία είναι πολύ πιθανό να αποφασίσουν να αγοράζουν βρετανικό βόειο κρέας, ως την ασφαλέστερη και νοστιμότερη επιλογή."
26,"If there is one across-the-board criticism of the report from the industry, it is that perhaps it does not go far or fast enough.","Αν η βιομηχανία ασκεί γενικά κριτική για την έκθεση, αυτό πιθανώς συμβαίνει επειδή δεν προχωρά αρκετά μακριά και αρκετά γρήγορα."
27,"Parliament has played a fundamental role in this dialogue, but it is now time to move on from dialogue and declarations to concrete action.","Εμείς, ως Κοινοβούλιο, είχαμε έναν ουσιαστικό ρόλο σε αυτό όμως, τώρα, από τις συζητήσεις και από τις δηλώσεις χρειάζεται να περάσουμε στις συγκεκριμένες πράξεις."
28,"My group deplores the fact that this code of secrecy was slipped in during the Parliamentary summer recess, with no Parliamentary consultation and by written procedure.","Η Ομάδα μου στηλιτεύει το γεγονός ότι ο εν λόγω κώδικας μυστικότητας πέρασε υπογείως κατά τη θερινή διακοπή του Κοινοβουλίου, με καμία κοινοβουλευτική διαβούλευση και με γραπτή διαδικασία."
29,"We must accept that all the groups have the right to express themselves in the House, but the text, in principle, belongs to the groups which negotiated it.","Πρέπει να δεχθούμε το δικαίωμα όλων των ομάδων να εκφράζονται στην Ολομέλεια, το κείμενο όμως, κατ' αρχήν, ανήκει στις ομάδες που το διαπραγματεύτηκαν."
30,"Indeed it is the mix of the situation in the labour market, the tax and social security mix, as well as the social acceptance, that determine the level of undeclared work.","Πράγματι, η συγκεχυμένη κατάσταση που επικρατεί στην αγορά εργασίας, στη φορολογία και την κοινωνική ασφάλιση, καθώς και η κοινωνική αποδοχή, καθορίζουν το επίπεδο της λαθραίας εργασίας."
31,"Where policies are perceived as unfair and inconsistent, as in the UK, then protests will enjoy widespread popular support.","Εκεί όπου οι πολιτικές θεωρούνται άδικες και ασυνάρτητες όπως στο ΗΒ, οι διαμαρτυρίες θα απολαμβάνουν ευρείας λαϊκής υποστήριξης."
32,"Mrs Plooij-van Gorsel, I am extremely concerned by what you have told me and I can assure you that I shall most certainly convey your justifiable unhappiness to the appropriate parties.","Κυρία Plooij-van Gorsel, λυπάμαι πάρα πολύ για αυτό το οποίο μου λέτε, και μπορώ να σας διαβεβαιώσω ότι θα διαβιβάσω με τον πιο έντονο τρόπο στις αρμόδιες αρχές την εύλογη δυσαρέσκειά σας."
33,I hope for the European Parliament's support and backing in our further attempts to improve the implementation of our European Community environmental legislation.,Ελπίζω να μας παράσχει την υποστήριξή του το Ευρωπαϊκό Κοινοβούλιο και να ενισχύσει τις περαιτέρω προσπάθειές μας να βελτιώσουμε την εφαρμογή της περιβαλλοντικής νομοθεσίας της Ευρωπαϊκής Κοινότητάς.
34,"Mr President, ladies and gentlemen, the subject of the Parish report is the future of young farmers in the European Union.","Κύριε Πρόεδρε, κυρίες και κύριοι, η έκθεση Parish αφορά το μέλλον των νέων γεωργών στην Ευρωπαϊκή Ένωση."
35,"Forests and seas are among the most important carbon sinks and stores, and it has also been seen that the ability of forest soil in the north to absorb carbon is even greater than that of trees.",Τα δάση και οι θάλασσες είναι οι σημαντικότερες δεξαμενές και αποθήκες διοξειδίου του άνθρακα και έχει διαπιστωθεί επίσης ότι η ικανότητα του εδάφους των δασών να απορροφά τον άνθρακα είναι ακόμη μεγαλύτερη από εκείνη των ίδιων των δενδροφυτειών του Βορρά.
36,It will increase the massacres; it will increase the disappearances; it will increase the violations committed against ordinary innocent people.,"Θα έχει σαν αποτέλεσμα να αυξηθούν οι σφαγές, να αυξηθούν οι εξαφανίσεις, να αυξηθούν οι βιαιότητες που διαπράττονται κατά απλών, αθώων ανθρώπων."
37,"The other realisation is that, in the short term at least, it is a question of finding solutions without having the same system in every country.","Η δεύτερη ιδέα είναι ότι, βραχυπρόθεσμα τουλάχιστον, είναι δυνατό να υπάρξουν λύσεις χωρίς να εφαρμόζεται το ίδιο σύστημα σε όλες τις χώρες."
38,The answer lies in a fair balance between the freedom to conduct research and the need to protect public health and the environment.,Η απάντηση βρίσκεται στη σωστή ισορροπία μεταξύ της ελευθερίας της έρευνας και του επιτακτικού χαρακτήρα της προστασίας της δημόσιας υγείας και του περιβάλλοντος.
39,"The examples of deregulation were definitely not so outstanding, for many on the right were disappointed that these were insufficient.","Οι απορυθμίσεις σίγουρα δεν ήταν μεγάλης κλίμακας, πολλά μέλη της Δεξιάς απογοητεύτηκαν από το γεγονός ότι δεν αποφασίστηκαν αρκετές απορυθμίσεις."
40,I would add something more: for the first time there is a minister in Ecofin who proposes a debate on the viability of an international tax on speculation.,Και θα ήθελα να προσθέσω ακόμα κάτι: για πρώτη φορά στο ECOFIN υπάρχει ένας υπουργός ο οποίος προτείνει τη συζήτηση σχετικά με τη βιωσιμότητα ενός διεθνούς φόρου επί της κερδοσκοπίας.
41,"Of more immediate importance is the mandate for conciliation by Mr Costa Neves, and we publicly thank him for being prepared to hold dialogue and for seeking a consensus.","Μεγαλύτερη άμεση σπουδαιότητα έχει η εντολή συνδιαλλαγής του κ. Costa Neves, τον οποίο ευχαριστούμε δημοσίως για τη διάθεσή του για διάλογο και για την επίτευξη συμφωνίας."
42,"I shall now give the floor to Mr Corbett, who is replacing Mr Napolitano, to move this request on behalf of the Committee on Constitutional Affairs.","Θα δώσω αμέσως το λόγο στον κ. Corbett, που αντικαθιστά τον κ. Napolitano, για να παρουσιάσει την εν λόγω αίτηση, εξ ονόματος της Επιτροπής Συνταγματικών Υποθέσεων."
43,"Given the current state of play in the negotiations, we are realistically talking about 10 countries.",Λαμβανομένου υπόψη του σταδίου στο οποίο βρίσκονται οι διαπραγματεύσεις είναι ρεαλιστικό να ομιλούμε για 10 χώρες.
44,"Moreover, we intend to examine further the progress made by the Member States in the field of systems security within the framework of the implementation of the e-Europe 2002 action plan.",Εξάλλου έχουμε την πρόθεση να εξετάσουμε την πρόοδο των κρατών μελών όσον αφορά την εφαρμογή του προγράμματος δράσης e-Europe 2002.
45,We can therefore say that competition law has been accorded an important place in the Danish consciousness. That is something for which I would thank you.,"Σας ευχαριστώ για αυτό και σημειώνω ότι γενικά υπήρξε συμφωνία παντού ως προς τις ενέργειες του Επιτρόπου, οπότε μπορούμε να πούμε ότι το δίκαιο περί ανταγωνισμού τέθηκε στο προσκήνιο και τώρα το γνωρίζει ο λαός της Δανίας - σας ευχαριστώ για αυτό."
46,"If India continues to spend less than 1% of its GDP on school facilities, of course, development will never come off the ground.","Τη στιγμή που η Ινδία διαθέτει λιγότερο από το 1% του ΑΕΠ της στην σχολική εκπαίδευση, δεν μπορεί φυσικά να υπάρξει ανάπτυξη."
47,"By approving this legislation, the Commission will be under an obligation to return in 2004 to review both directives and present its proposals for further progress.","Με την έγκριση αυτής της νομοθεσίας, η Επιτροπή έχει την υποχρέωση να θέσει εκ νέου το θέμα το 2004 ώστε να αναθεωρήσει και τις δύο οδηγίες και να καταθέσει τις προτάσεις της για περαιτέρω πρόοδο."
48,"Mr President, I should like to congratulate Commissioner Vitorino on the immigration policy that the European Commission has presented to this Parliament.","- (NL) Κύριε Πρόεδρε, θα ήθελα να συγχαρώ την Επίτροπο κ. Vitorino για την πολιτική μετανάστευσης που πρότεινε η Ευρωπαϊκή Επιτροπή στο Ευρωπαϊκό Κοινοβούλιο."
49,"It is a straightforward blockage of trade, which will not diminish the so-called grey markets but will make them more confused and complex.","Πρόκειται για ξεκάθαρη παρακώλυση του εμπορίου, η οποία δεν θα περιορίσει τις λεγόμενες ""γκρίζες αγορές"" , αλλά θα τις κάνει πιο συγκεχυμένες και περίπλοκες."
50,Member States cannot afford to postpone using this instrument in order to obtain more permanent and responsible growth.,Δεν έχουμε την πολυτέλεια να αναβάλουμε αυτές τις μεταρρυθμίσεις μέχρι ότου επιτευχθεί περισσότερο σταθερή και υπεύθυνη ανάπτυξη.
51,"As you know, this study examined numerous aspects and independent experts were also asked for their opinion, because we want to ensure that the study is reliable and that STOA is reliable.","Ξέρετε πολύ καλά ότι αυτή η μελέτη είχε αρκετές πτυχές που έπρεπε να εξετασθούν, ενώ ζητήθηκε και η γνώμη ανεξαρτήτων εμπειρογνωμόνων, διότι θέλουμε να εξασφαλίσουμε την αξιοπιστία της μελέτης και την αξιοπιστία της STOA."
52,"It is particularly marked among small and medium-sized enterprises, and this programme is intended to make good this deficit.",Παρά τις εκτεταμένες ενημερωτικές εκστρατείες διαπιστώσαμε ελλείμματα στην πληροφόρηση ιδίως των μικρών και μεσαίων επιχειρήσεων και η εξάλειψή τους είναι ο στόχος του προγράμματος PRINCE.
53,"The rise in power of the European Council, combined with the weakness of the General Affairs Council, has re-established the intergovernmental method of preparing decisions.","Πράγματι, η αύξηση της δύναμης του Ευρωπαϊκού Συμβουλίου, σε συνδυασμό με την αδυναμία του Συμβουλίου ""Γενικές Υποθέσεις"" , επανέφεραν τη διακυβερνητική μέθοδο όσον αφορά την προετοιμασία των αποφάσεων."
54,I fear tonight's vote - on a Thursday night - may be unrepresentative of the large majority decision at the Agriculture Committee on this particular issue.,"Φοβάμαι ότι η σημερινή ψηφοφορία - μία Πέμπτη βράδυ - μπορεί, για το συγκεκριμένο θέμα, να μην είναι αντιπροσωπευτική της μεγάλης πλειοψηφίας με την οποία εγκρίθηκε η απόφαση από την Επιτροπή Γεωργίας."
55,Otherwise we must note that there is a weakness in Commission expenditure that needs to be criticised politically speaking.,Ειδάλλως θα πρέπει να το λάβουμε υπόψη ότι οι δαπάνες της Επιτροπής παρουσιάζουν αδυναμίες και να το αξιολογήσουμε με πολιτικά κριτήρια.
56,"(DE) Mr President, ladies and gentlemen, on 11 October the Committee on Legal Affairs and the Internal Market adopted my opinion on the White Paper on Strategy for a future Chemicals Policy.","(DE) Κύριε Πρόεδρε, αγαπητοί συνάδελφοι, στις 11 Οκτωβρίου η Επιτροπή Νομικών Θεμάτων και Εσωτερικής Αγοράς έκανε δεκτή τη γνωμοδότησή μου σχετικά με τη Λευκή Βίβλο για τη μελλοντική πολιτική για τα χημικά προϊόντα."
57,The Council again stated its concern given the enormous influx of illegal immigrants from Turkey into Greece or transiting through Greece.,Το Συμβούλιο επανέλαβε και πάλι την ανησυχία του έναντι της μαζικής εισροής στην ελληνική επικράτεια λαθρομεταναστών που προέρχονται από την Τουρκία ή διέρχονται από το έδαφός της.
58,"We are aware that when a resolution such as this one is approved in this House, it has to be done by a majority.","Γνωρίζουμε ότι όταν εγκρίνεται εδώ ένα ψήφισμα σαν αυτό, πρέπει να αποτελεί αντικείμενο πλειοψηφικής συναίνεσης."
59,"The Council adopted a proposal for a legal basis for the fund to be implemented but so far not one euro has been given, and a further 2 million people have died.","Το Συμβούλιο ενέκρινε μια πρόταση για μια νομική βάση όσον αφορά το ταμείο που πρόκειται να συσταθεί, αλλά μέχρι στιγμής, δεν έχει δοθεί ούτε ένα ευρώ, ενώ έχουν πεθάνει άλλα δύο εκατομμύρια άνθρωποι."
60,"Mr President, I, like everybody else, or perhaps most other people in this House, want a single market.","Κύριε Πρόεδρε, και εγώ, όπως όλα ή μάλλον τα περισσότερα μέλη αυτού του Σώματος, θέλω μία ενιαία αγορά."
61,"Given the overall intake levels, the revised maximum levels do not increase the risk to public health.","Λαμβάνοντας υπόψη τα συνολικά επίπεδα λήψης, τα αναθεωρημένα ανώτατα επίπεδα δεν αυξάνουν τον κίνδυνο για τη δημόσια υγεία."
62,We are gaining an increasing insight into the deeper causes of violent conflicts; something which both the Commission and Mr Lagendijk have borne witness to.,Αποκτούμε όλο και περισσότερη γνώση των βαθύτερων αιτιών των βίαιων συγκρούσεων· και σε αυτό αναφέρθηκε τόσο η Επιτροπή όσο και ο κ. Lagendijk.
63,"We can only run once we have learned to walk, which is why we must keep a sense of reason and hope that Laeken prompts something in the convention to bring this about.","Μπορούμε να ζητήσουμε το δεύτερο μόνο αφού γίνει το πρώτο. Γι' αυτό, καλό θα ήταν να παραμείνουμε λογικοί και να ελπίζουμε ότι στο Λάκεν θα δοθεί κάποια ώθηση στη Συνέλευση που θα οδηγήσει εκεί."
64,"Mr President, ladies and gentlemen, my heartfelt thanks and respect are owed to the rapporteur, who has drafted this material with much energy, discipline and intelligence.","Κύριε Πρόεδρε, αξιότιμοι κυρίες και κύριοι, εκφράζω τις ευχαριστίες και την εκτίμησή μου στον εισηγητή, ο οποίος επεξεργάσθηκε το θέμα αυτό με πολλή ενεργητικότητα, πειθαρχία και εξυπνάδα."
65,I ask the President of Parliament to write to Levi Strauss to ask why it is shedding so many European jobs and why it has not properly consulted its workforce.,"Ζητώ από τον Πρόεδρο του Κοινοβουλίου να συντάξει επιστολή προς την εταιρεία Levi Strauss, ζητώντας να πληροφορηθεί τους λόγους για τους οποίους καταργεί τόσες πολλές θέσεις εργασίας στην Ευρώπη και τους λόγους για τους οποίους δεν προέβη, ως όφειλε, σε διαβουλεύσεις με τους εργαζομένους της."
66,"We in Germany have a regulation entitled the Group Exemption Regulation, which states that a regulatory framework should continue to exist, subject to a time limit.",Έχω ωστόσο μια ερώτηση όσον αφορά τη ρύθμιση της ελευθερίας εγκατάστασης στην εσωτερική αγορά.
67,"We often hear the view that, since we have been giving development aid to Africa for 25 or 30 years and they are still poor, maybe the whole approach is wrong.","Συχνά ακούγεται η άποψη ότι, εφόσον παρέχουμε αναπτυξιακή βοήθεια στην Αφρική επί 20 ή 30 έτη και η φτώχεια διατηρείται, ίσως η συνολική προσέγγιση είναι λανθασμένη."
68,It is much to be desired that those Taliban fighters who have gone to ground in Pakistan should be unmasked and arrested.,Θα ήταν ευχής έργο να εντοπιστούν και να συλληφθούν οι πολεμιστές των Ταλιμπάν που κρύβονται στο Πακιστάν.
69,It is therefore especially pleasing to have the opportunity this evening to praise Mr Gahrton for what is in every respect a well balanced and sound report on the South Caucasus.,Για τον λόγο αυτό χαίρομαι ιδιαίτερα που έχω απόψε την ευκαιρία να συγχαρώ τον κ. Gahrton για την από κάθε άποψη ισόρροπη και καλή έκθεση που εκπόνησε σχετικά με τον Νότιο Καύκασο.
70,"As we heard earlier, the International Council for the Exploration of the Sea (ICES) will tomorrow present its annual report on the fish stocks in our oceans.","Όπως ακούσαμε νωρίτερα, το Διεθνές Συμβούλιο για την Εξερεύνηση της Θάλασσας, (ICES) θα δημοσιεύσει αύριο την ετήσια έκθεσή του για τα αποθέματα ιχθύων στις θάλασσές μας."
71,   . – The Council is interested in the case of the Greek and Filipino seamen placed under house arrest in Pakistan and in the measures taken by the Pakistani authorities.,   Το Συμβούλιο ενδιαφέρεται για την περίπτωση των ελλήνων και φιλιππινέζων ναυτικών που έχουν τεθεί σε κατ’ οίκον περιορισμό στο Πακιστάν και για τις ενέργειες που έχουν αναλάβει οι πακιστανικές αρχές.
72,"   Mr President, with regard to the Kindermann report, many of my constituents are concerned about the unnecessary killing of dolphins and porpoises in Europe's seas.","   Κύριε Πρόεδρε, όσον αφορά την έκθεση Kindermann, πολλά μέλη της εκλογικής μου περιφέρειας ανησυχούν για την περιττή θανάτωση δελφινιών και φωκιών στις ευρωπαϊκές θάλασσες."
73,"All this is detrimental to alternative projects that provided for taking Corridor 5 beyond the Alps, thus cutting off our regions and our businesses from the Eastern markets.","Όλα αυτά αποβαίνουν εις βάρος εναλλακτικών σχεδίων που προέβλεπαν τη χάραξη του Διαδρόμου 5 πέρα από τις Άλπεις, αποκόπτοντας έτσι τις περιφέρειές μας και τους επιχειρηματίες μας από τις αγορές της Ανατολής."
74,It is indeed bizarre that the only person detained in connection with this sorry episode is the journalist who exposed it.,Είναι πράγματι περίεργο το γεγονός ότι ο μόνος άνθρωπος που κρατείται γι’ αυτό το λυπηρό επεισόδιο είναι ο δημοσιογράφος που το έφερε στο φως.
75,"As these complaints have raised the specific issues of border controls and corruption, I should like to ask you for your views on both of these.","Καθώς αυτές οι καταγγελίες θέτουν συγκεκριμένα τα θέματα του ελέγχου των συνόρων και της διαφθοράς, θα ήθελα να μάθω την άποψή σας γι’ αυτά."
76,"   . Since the Atatürk revolution in 1923, Turkey has been a typically European country, albeit of the old-fashioned, authoritarian kind, which we no longer want in Europe these days.","   . – Μετά την επανάσταση του Ατατούρκ το 1923, η Τουρκία υπήρξε μια τυπικά ευρωπαϊκή χώρα, παρά την παλιομοδίτικη, αυταρχική μορφή που δεν επιθυμούμε πλέον σήμερα στην Ευρώπη."
77,"In this connection, it is important to ensure that resources released in the context of recent events are indeed additional to development commitments already made.","Εν προκειμένω, είναι σημαντικό να διασφαλίσουμε ότι οι πόροι που αποδεσμεύονται στο πλαίσιο των πρόσφατων γεγονότων όντως είναι συμπληρωματικοί σε αναπτυξιακές δεσμεύσεις που έχουν ήδη αναληφθεί."
78,"Today we are debating details of our life together, the removal of barriers, and overcoming difficulties.","Σήμερα συζητάμε τις λεπτομέρειες της κοινής μας ζωής, την άρση των φραγμών, και το πώς θα ξεπεράσουμε τις δυσκολίες."
79,"Grim dictatorships, motivated by the fear of certain ideas, still find ways of blocking access to information.","Οι ζοφερές δικτατορίες, υποκινούμενες από τον φόβο για ορισμένες ιδέες, βρίσκουν ακόμη τρόπους να μπλοκάρουν την πρόσβαση στις πληροφορίες."
80,Does the Commission intend to apply the solutions suggested by Parliament in its resolution of 11 May in time for the 2006 harvest?,Προτίθεται η Επιτροπή να θέσει σε εφαρμογή τις λύσεις που πρότεινε το Κοινοβούλιο στο ψήφισμά του της 11ης Μαΐου εγκαίρως πριν τη σοδειά του 2006;
81,"At the beginning of this week, I discovered my name on 18 amendments that I had not seen and that I had definitely not signed.","Στην αρχή αυτής της εβδομάδας, ανακάλυψα το όνομά μου σε 18 τροπολογίες που δεν είχα δει και σίγουρα δεν είχα υπογράψει."
82,"However, we support the report's direction in terms of increasing the energy crops premium and increasing the maximum guaranteed area for such production so as to encourage the promotion of biofuels.","Ωστόσο, υποστηρίζουμε την κατεύθυνση της έκθεσης όσον αφορά την αύξηση των ενισχύσεων για τις ενεργειακές καλλιέργειες και την αύξηση του μέγιστου πεδίου εγγύησης για αυτού του είδους τις παραγωγές, προκειμένου να ενθαρρυνθεί η προώθηση των βιοκαυσίμων."
83,Parliament’s Legal Service has said this poses no danger of creating a situation where third-country nationals have greater access than A8 citizens.,"Η νομική υπηρεσία του Κοινοβουλίου δήλωσε ότι αυτό δεν κινδυνεύει να δημιουργήσει μια κατάσταση στην οποία οι υπήκοοι τρίτων χωρών θα έχουν μεγαλύτερη πρόσβαση από ό,τι οι πολίτες των χωρών Α8."
84,"Therefore we need positive actions, positive discrimination and preferential treatment, to enable us to counterbalance unequal opportunities in society.","Για τον λόγο αυτό χρειαζόμαστε θετικές δράσεις, θετικές διακρίσεις και προτιμησιακή μεταχείριση, ώστε να αντισταθμίσουμε την ανισότητα ευκαιριών στην κοινωνία."
85,I am pleased to note that the spirit of enterprise is one of the eight key competences that all Europeans should have available to them.,Σημειώνω με ικανοποίηση ότι το επιχειρηματικό πνεύμα περιλαμβάνεται στις οκτώ βασικές ικανότητες τις οποίες πρέπει να διαθέτει κάθε Ευρωπαίος.
86,"Some observations have been made concerning the entering into force of the agreement: for example, Mr Roure has referred to Article 24.","Ορισμένες παρατηρήσεις αφορούσαν την έναρξη ισχύος της συμφωνίας. "" κ. Roure, για παράδειγμα, αναφέρθηκε στο άρθρο 24."
87,"(FR) Mr President, Airbus's strategic and industrial decisions decide not only the fate of tens of thousands of employees but also the future of a large part of the European aeronautical industry.","(FR) Κύριε Πρόεδρε, οι στρατηγικές και βιομηχανικές αποφάσεις της Airbus δεν καθορίζουν μόνον τη μοίρα δεκάδων χιλιάδων εργαζομένων αλλά και το μέλλον ενός μεγάλου μέρους της ευρωπαϊκής αεροναυπηγικής βιομηχανίας."
88,"For Portugal, this report is very important because a large proportion of the mainland and the outlying areas forms part of the Natura 2000 network, funding for which is set out in this report.","Για την Πορτογαλία, αυτή η έκθεση είναι πολύ σημαντική επειδή ένα μεγάλο τμήμα της ηπειρωτικής χώρας και οι απομακρυσμένες περιοχές αποτελούν τμήμα του δικτύου Natura 2000, για το οποίο η χρηματοδότηση παρουσιάζεται στην έκθεση αυτή."
