,en,gr
37,Our concern must be to offer social protection to all employees and to enable their social inclusion.,Mes turėtume rūpintis pasiūlyti socialinę apsaugą visuems dirbantiesiems ir sudaryti sąlygas jų socialinei integracijai.
38,"This means that the Charter, in its own way, is a moral, legal and political reflection of the unity of the European Union: West and East, North and South.","Vadinasi, pati chartija yra moralinis, teisinis ir politinis Europos Sąjungos vienybės atspindys. Vakarų ir rytų, šiaurės ir pietų vienybės."
39,"Parliament's resolution, prepared by a political group, sets out clearly the need to look forward to these now fast-moving negotiations.","Politinių frakcijų parengtoje Parlamento rezoliucijoje aiškiai nurodoma, kad būtina žiūrėti į šių dabar greitai besivystančių derybų ateitį."
40,"in writing. - (DE) Developments in recent years have shown that European tourism, like any other economic sector, is strongly influenced by wider global conditions.","raštu. - (DE) Pastarųjų metų plėtra parodė, kad Europos turizmui, kaip ir kitiems ekonomikos sektoriams, didelę įtaką daro globalizacija."
41,"But financing, clearly, is only appropriate for those parties which are politically correct in their thinking on Europe.","Tačiau akivaizdu, kad finansuoti tinkama tik politiškai korektiškai apie Europą mąstančias partijas."
42,Member States will have to establish marine-protected areas to meet their objectives under this directive in accordance with the international commitments of the Community and the Member States.,Valstybės narės privalės nustatyti saugomas jūrų zonas direktyvoje joms keliamiems tikslams pasiekti ir prisidėti prie tarptautinių Bendrijos ir valstybių narių įsipareigojimų vykdymo.
43,"We fully share Parliament's concern, also expressed in its comments on the Instrument for Stability strategy, that a security gap in this important humanitarian field has to be avoided.","Visiškai suprantame Parlamento susirūpinimą, reiškiamą ir pastabose priemonei dėl stabilumo strategijos, kad šioje svarbioje humanitarinėje srityje būtina vengti saugumo spragų."
44,"There were now lower rates of VAT for French catering entities, CDs and activities generating a workforce.","Mažesnių PVM tarifų Prancūzijos viešojo maitinimo įmonėms, kompaktinėms plokštelėms ir darbo jėgą teikiančiai veiklai nebuvo."
45,"It is our political duty to present specific results by 2010, in other words when we meet up again for the Third EU-Africa Summit.","Turime politinę pareigą pateikti konkrečius rezultatus iki 2010 m., kitaip tariant per mūsų ateinantį susitikimą trečiajame ES ir Afrikos aukščiausio lygio susitikime."
46,"The recognition of that occupational group must be taken further, and another task on the agenda will be to cut emissions and to make aviation less harmful to the climate than it has been to date.","Turi būti toliau vykdomas profesinės grupės pripažinimas, o kitas darbotvarkės uždavinys bus sumažinti emisijas ir padaryti taip, kad aviacija būtų mažiau žalinga klimatui, nei ji buvo iki šiol."
47,"Almost 60 years later the European Union codified human rights in its Charter of Fundamental Rights, a document meeting the needs and expectations of Europeans on the threshold of the 21st century.","Beveik po 60 metų Europos Sąjunga kodifikavo žmogaus teises savo Pagrindinių teisių chartijoje - dokumente, atitinkančiame europiečių poreikius ir lūkesčius stovint ant slenksčio į XXI amžių."
48,"The Host City Contract, the human rights clause in the Chinese Constitution, the Universal Declaration of Human Rights - these are promises made to China's citizens.","Kinija pasižadėjo savo gyventojams pagal miesto rengėjo sutartį, Kinijos konstitucijos žmogaus teisių nuostatas ir Visuotinę žmogaus teisių deklaraciją."
49,"There is considerable room for corruption, especially in the cases of construction and land-use planning, privatisation, concessions and public procurement.'","Daug galimybių korupcijai pasireikšti statybos ir žemėtvarkos, privatizavimo, koncesijų ir viešųjų pirkimų srityje""."
50,The development of the Mediterranean countries with which we want to create a partnership depends on our ability to offer them firm commitments on policies and sectors of common interest.,"Viduržemio jūros regiono valstybių, su kuriomis norime užmegzti partnerystės santykius, plėtrą lemia mūsų sugebėjimas pasiūlyti joms tvirtus įsipareigojimus ir visiems patrauklius sektorius."
51,That same year the Asian Women's Fund was set up to grant reparations and medical aid to survivors on behalf of the Japanese Government and people.,"Tais pačiais metais buvo įsteigtas Azijos moterų fondas, kurio tikslas - Japonijos vyriausybės ir žmonių vardu teikti kompensacijas ir medicininę pagalbą išgyvenusioms aukoms."
52,"Therefore, it is important to support new cars, because they are better, to support better road systems, better transport systems, better fuels and better engines.","Todėl svarbu remti naujus automobilius, nes jie yra geresni, remti geresnes kelių sistemas, geresnes transporto sistemas, geresnį kurą ir geresnius variklius."
53,Public opinion tends to take more notice of industrial accidents than of the wide diversity of occupational diseases.,"Viešoji nuomonyra linkusi kreipti daugiau dėmesio į pramonines avarijas, negu į didelę profesinių ligų įvairovę."
54,"Mr Vice-President Frattini's words have cast a little doubt, but nonetheless I hope that the Agency will be consistent in protecting human rights.","Pono Komisijos pirmininko pavaduotojo F. Frattini žodžiais yra teisingi, tačiau aš tikiu, kad Agentūra nuosekliai gins žmogaus teises."
55,"Obviously, the ability to anticipate prices several months in advance by predicting the harvest is a highly interesting prospect for the stock markets in Chicago or wherever.","Aišku, kad galimybnumatyti kainas dar prieš kelis mėnesius prognozuojant derlių yra didelį susidomėjimą Čikagos ar kitų didmiesčių vertybinių popierių rinkoms kelianti perspektyva."
56,"- (PL) Mr President, Slovenia is the first of the new Member States to take on the Presidency of the European Union.",- (PL) Pone Pirmininke! Slovėnija yra pirmoji iš naujųjų valstybių narių pirmininkaujanti Europos Sąjungai.
57,"We must not forget about the street children and the children of migrants, who are also exposed to violence.","Mes negalime pamiršti apie gatvėse augančius vaikus ir migrantų vaikus, kurie nuolat kenčia nuo prievartos."
58,"President-in-Office. - (SL) The ever-increasing cost of energy, especially fuel, and of food is a global problem and therefore also a problem for the European Union.","Pirmininkas. - (SL) Nuolat augančios energijos kainos, ypač kuro ir maisto, yra pasaulinproblema, o tuo pačiu ir Europos Sąjungos problema."
59,"Russia is funding projects of its own, and is strengthening its position on the Central Asian market.",Rusija finansuoja savo pačios projektus ir stiprina savo pozicijas Vidurio Azijos rinkoje.
60,Yesterday the EU troika carried out a firm démarche to the Chinese authorities asking for his immediate release.,Vakar ES trejetas surenggriežtą demaršą Kinijos valdžios institucijoms prašydamas nedelsiant jį paleisti.
61,Since that time the reformist president Khatami has been replaced by the representative of a much harder political line.,Nuo to laiko reformų šalininką prezidentą Khatamį pakeitgerokai kietesnės politinės linijos atstovas.
62,"Under Article 23 of the Directive, the European Commission must prepare a report on the application of this Directive, including information about the groups mentioned above.","Pagal Direktyvos 23 straipsnį Europos Komisija privalo parengti ataskaitą dėl šios Direktyvos taikymo, įskaitant informaciją apie anksčiau paminėtas grupes."
63,"As a matter of fact, this report comes at a time where all initiatives aiming at reinforcing concrete actions for greater energy efficiency should be warmly welcomed.","Iš tikrųjų šis pranešimas parengtas, kai visos iniciatyvos, skirtos sustiprinti konkrečius efektyvesnio energijos vartojimo veiksmus turi būti nuoširdžiai vertinamos."
64,"(CS) Mr Chairman, today, after many years, our discussions have come to an end and we have agreed to provide all citizens of the European Union with a fully open market in postal services.","(CS) Pone Pirmininke, šiandien po daugelio metų baigėsi mūsų diskusijos ir susitarėme pilnai atverti rinką pašto paslaugų srityje visiems Europos Sąjungos piliečiams."
65,"However, in order to avoid misunderstandings, may I remind you that it is not up to the Commission to lay down rules for Parliament.","Tačiau, kad išvengtume nesusipratimo, gal galiu Jums priminti, kad Komisijos kompetencijai nepriklauso nustatyti taisykles Parlamentui."
66,"I do not intend to read them out here, but they are extremely clear and precise, and may be assessed with the same kind of precision.","Neketinu skaityti jų visų čia, tačiau jie yra visiškai aiškūs ir tikslūs ir taip pat tiksliai gali būti įvertinti."
67,"Secondly, we have greater clarity surrounding the CE mark but I agree with Mrs McCarthy and Mrs Gebhardt that we need to work on a real safety label in the future.","Antra, atsirado daugiau aiškumo dėl CE ženklo, bet aš pritariu poniai McCarthy ir poniai Gebhardt, kad ateityje turime sukurti tikrai saugų ženklą."
68,Scotland has much to contribute to the European Union and its development: a constructive attitude and a wealth of energy resources to name but two.,Škotija galėtų įnešti didžiulį indėlį į Europos Sąjungą ir į jos plėtrą: užtenka paminėti konstruktyvų požiūrį ir energijos išteklių gausybę.
69,"Is one of our aims really to become, let us say, the most dynamic, competitive and best region in the world by the year 2010?","Ar vienas mūsų tikslų tikrai yra tapti pačiu dinamiškiausiu, konkurencingiausiu ir geriausiu pasaulio regionu iki 2010 m.? 2004 m."
70,We heard Mr Schulz say that those of us who objected to the sheer dishonesty of this project were behaving like Nazis back in the 1930s.,"Mes girdėjome Martin Schulz pasakymą, kad tie iš mūsų, kurie laikosi nuomonės, kad šis projektas nesąžiningas, elgiasi kaip naciai žvelgiant atgal į 1930 m."
71,"The voluntary annex, which provided for the collection of microdata and questions on extremely sensitive topics such as sexual behaviour and literacy, has been deleted entirely.","Savanoriškas priedas dėl mikroduomenų rinkimo ir klausimų jautriomis temomis kaip lytinis gyvenimas ir raštingumas, buvo visiškai išbrauktas."
72,"The first question is on the system we are envisaging for command, that is to say for future responsibilities, and here I am thinking, of course, of institutions in Kosovo.","Pirmas klausimas yra apie sistemą, su kuria priverstinai susiduriame, t. y. apie ateities įsipareigojimus ir, aš manau, žinoma, apie Kosovo institucijas."
73,"(RO) Ladies and gentlemen, at present, Europe is dealing with substantial demographic challenges that will have a long-term impact on its future.","(RO) Ponios ir ponai, šiuo metu Europoje sprendžiamos svarbios demografinės problemos, kurios turės ilgalaikės įtakos ateičiai."
74,"I would point out that the European People's Party, along with the UEN and other groups, requested the deletion of paragraph 24.","Norėčiau atkreipti jūsų dėmesį, kad Europos liaudies parija kartu su UEN ir kitomis frakcijomis pareikalavo išbraukti 24 dalį."
75,That 'you' referred not just to an individual but to a policy that his successors had followed and intensified.,"Tas ""jūs"" reiškne vien asmenį, bet ir politiką, kuria vadovavosi ir kurią stiprino jos pasekėjai."
76,"Let me finally say to the Parliament-basher in the back row that I have a half-hour walk every day to and from the hotel here in Strasbourg, and so I have no need of either limousines or trams.","Leiskite galiausiai pasakyti Parlamento išsišokėliui iš paskutinės eilės, kad kasdieną pėsčiomis po pusvalandį einu pėsčiomis iš ir į savo viešbutį Strasbūre, todėl nesinaudoju nei limuzinais, nei tramvajais."
77,"Mr President, second reading in the European Parliament is another step that bring us closer to establishing a European Institute of Innovation and Technology.","Pone Pirmininke, antrasis svarstymas Europos Parlamente yra dar vienas žingsnis link Europos inovacijų ir technologijų instituto įkūrimo."
78,"Milk quotas should be abolished in 2015, so there is cause to increase milk quotas now by at least 2% and cushion the landing in 2009.","2015 m. turi būti panaikintos pieno kvotos, todėl dabar reikia bent 2 % padidinti pieno kvotas ir diegti ""švelnų nusileidimą"" 2009 m."
79,"Alongside the platitudes, some spoke of the problems that lie behind the averages and become visible if one takes a structured approach.","Greta banalybių, kai kurie kalbėjo apie problemas, kurios slypi už vidurkių ir tampa matomos, ėmus taikyti struktūrizuotą metodą."
80,"There must be better stimulation of the internal workforce, and better flexibility and adaptability for all generations to make it easier for them to reconcile their professional and family lives.",Reikėtų labiau stimuliuoti vidaus darbo jėgą ir lanksčiau spręsti visų kartų profesinio ir asmeninio gyvenimo darninimo problemas.
81,Are we going to eartag people like me who live in a rural area and are married to a woman in a rural area?,"Ar ketiname žmones kaip aš, kurie gyvena kaimo vietovėje ir yra susituokę su moterimi kaimo vietovėje, ženklinti ausies įsagu?"
82,"In addition, one of the most significant obstacles to the full harmonisation of the internal market in defence equipment is precisely the large number of export rules in the EU.","Be to, viena iš didžiausių visiško gynybos įrangos vidaus rinkos suderinimo kliūčių būtent ir yra didelis ES eksporto taisyklių skaičius."
83,"Mr President, there is only one way to ensure harmonisation of excise duty rates in Europe: introducing maximum and minimum rates at the same time.","Pone pirmininke, vienintelis būdas užtikrinti akcizo tarifų suderinimą Europoje: maksimalių ir minimalių tarifų įvedimas vienu metu."
84,"For all these reasons, I believe this report is to be welcomed and should receive the support of an absolute majority.","Manau, kad dėl šių priežasčių pranešimas yra sveikintinas ir turėtų sulaukti absoliučios daugumos palaikymo."
85,"Instead of simply congratulating each other and praising yourselves, I would also expect you talk about the shortcomings of your policy, and about your failures.","Užuot tiesiog sveikinus vieną kitą ir gyrus save, taip pat laukčiau, kad pakalbėtumėte apie jūsų politikos trūkumus bei apie jūsų nesėkmes."
86,"(FR) Mr President, please excuse me, I may be mistaken but I thought that when votes were about people they had to remain secret, which has not been the case.","(FR) Gerb. Pirmininke, atleiskite, galbūt klystu, bet maniau, kad balsavimai už asmenis turėtų vykti slaptai, o čia taip nėra."
87,Our goal is to trigger democratisation in China and therefore we should appreciate the chance for such an international presence in a country that is otherwise rather isolated.,"Mūsų tikslas yra Kinijos demokratizacija, todėl turėtume vertinti suteiktą tarptautinio dalyvavimo galimybę gana izoliuotoje šalyje."
88,"As an ethnic Hungarian from Romania, I would like to draw Member States' attention to supporting Europe's minority and endangered cultures.","Būdamas etniniu vengru, kilusiu iš Rumunijos, norėčiau atkreipti valstybių narių dėmesį į Europos mažumų ir kultūrų, kurioms kyla grėsmė, palaikymą."
89,"I merely want to say that it was an honour for me to vote in favour of the report by my friend Paul Rübig, outlining this proposal for a decision aimed at supporting SMEs.","Tik norėjau pasakyti, kad man buvo garbbalsuoti už mano draugo Paulo Rübigo pranešimą, kuriuo bendrais bruožais apibūdinamas pasiūlymas dėl sprendimo dėl paramos MVĮ."
90,We have debated not only with the Committee on Budgets but also with the other committees about the policy priorities.,"Apie politinius prioritetus diskutavome ne tik su biudžeto komitetu, bet ir su kitais komitetais."
91,"It is equally tragic, of course, that people should have to die because there are too few organs available for transplants, but we do need to consider both sides of the coin.","Taip pat tragedija turi būti laikoma tai, kad žmonės turi mirti dėl to, kad trūksta organų, tinkamų transplantuoti, tačiau mes negalime pamiršti nvienos medalio pusės."
92,"Thus the whole explanatory statement is simply censored, so I will therefore take the liberty to read out what otherwise would no longer be accessible to the public from the plenary.","Taigi, visas paaiškinamasis pareiškimas paprasčiausiai cenzūruojamas, todėl turėsiu pasinaudoti teise perskaityti tai, ko plenarinio posėdžio metu visuomendaugiau negalėtų išgirsti."
93,in writing. - (PT) The word 'transparency' is bandied about a great deal and many demands are placed on (some) Member States in this area at budgetary and economic policy level.,"- (PT) Labai dažnai girdime žodį ""skaidrumas""; (kai kurioms) valstybėms narėms šioje srityje keliama daug reikalavimų biudžeto ir ekonominės politikos lygiu."
94,"The Commission will also be asked to submit a proposal by 2010 for post-2013 financing, in particular for common ownership commitments.","Komisijai taip pat bus pateiktas prašymas iki 2010 m. pateikti pasiūlymą dėl finansavimo po 2013 m., ypač dėl bendros nuosavybės įsipareigojimų."
95,These are questions that we must address in order to preserve and strengthen our European social model.,"Štai klausimai, kuriuos turime išspręsti, kad išsaugotume ir sustiprintume mūsų Europos socialinį modelį."
96,"It is this global aspect that in my view justifies a greater commitment from us all, in particular the parliaments.",Manau šis pasaulinis aspektas skatina mus labiau pasišvęsti savo darbui. Tai ypač susiję su parlamentais.
97,"This could improve European visibility and achieve a stronger European presence, thereby strengthening the contacts between the EU and Africa.",Tai galėtų padidinti Europos matomumą ir įtvirtinti Europos buvimą Afrikoje bei sustiprinti ES ir Afrikos ryšius.
98,It is already known that deforestation and degradation of forests are responsible for 20% of the world's carbon dioxide emissions.,"Jau žinoma, kad miškų naikinimas ir miškų degradacija yra ""atsakinga"" už 20 % pasaulinės anglies dvideginio emisiją."
99,I am glad that I am a young person in the European Union and I would enjoy being able to make this informed choice.,"Džiaugiuosi, kad esu jaunas Europos Sąjungos pilietis ir norėčiau turėti galimybę rinktis, remdamasis man suteikta informacija."
100,"The public authorities should certainly have a say in the definition of accounting standards, because these have such an impact on all the actors in the economy and even on national tax revenue.","Valstybės institucijos būtinai turėtų pasisakyti nustatant apskaitos standartus, kadangi jie turi tokį poveikį visiems ekonomikos veikėjams ir net valstybės pajamoms iš mokesčių."
101,"We must give Georgia our support at a moment when the country fears further provocation, and even aggression, by Russia.","Mes privalome suteikti Gruzijai paramą tokiu momentu, kai šalis bijo kitų provokacijų ir net Rusijos agresijos."
102,"It is truly shameful that the EP, the Commission and the Council always turn a blind eye to this situation.","Gėda, kad Parlamentas, Komisija ir Taryba visuomet žiūri į šią problemą pro pirštus."
103,"In the interest of the separation of powers at European level, Parliament must at all costs continue to be the sole body responsible for its Rules of Procedure.",Galių atskyrimo Europos lygiu klausimu Parlamentas privalo bet kuria kaina ir toliau būti vieninteluž savo Darbo tvarkos taisykles atsakinga institucija.
104,"in writing. - I support De Keyser and Salafranca's report as someone who has been on two occasions a Chief Observer on behalf of the European Union; Indonesia 2004, Aceh 2006/7.","raštu. - Pritariu Véronique de Keyser ir José Ignacio Salafranca Sánchez-Neyra'o, kuris du kartus (2004 m. Indonezijoje ir 2006-2007 m Ačehe) Europos Sąjungos vardu buvo vyriausiuoju stebėtoju, pranešimui."
105,This is especially so because the EU depends to a large extent on imports of raw materials from third countries.,"Taip yra ypač todėl, kad Europos Sąjunga dideliu mastu priklauso nuo žaliavų importo iš trečiųjų šalių."
106,"Member States must be given the opportunity to finish the reforms they have begun, and they should also be given a timeframe within which the results of the reforms should show.","Valstybėms narėms reikia suteikti galimybę baigti pradėtas reformas, numatant tam tikrą laiko tarpą, per kurį šios reformos turėtų duoti rezultatų."
107,"However, I foresee the development of a coordinated mechanism of national coastguards or of surveillance systems.",Vis dėlto esu numatęs sukurti koordinuotą nacionalinių pakrančių apsaugos tarnybos arba stebėjimo sistemų struktūrą.
108,"With the help of the Slovenian and the French Presidency, I believe it is possible to reach an agreement soon.","Padedant pirmininkaujančioms Slovėnijai ir Prancūzijai, manau, kad bus galima netrukus pasiekti susitarimo."
109,We also hope that we can engage Members of the European Parliament much more in these local and regional activities.,"Taip pat tikimės, kad pavyks daug labiau į šią vietos ir regioninę veiklą įtraukti Europos Parlamento narius."
110,"Thus, I believe special attention should be given to delta and estuary areas, where stranded ships could have a negative impact on the environment.","Todėl esu tikra, kad reikėtų skirti ypatingą dėmesį deltų ir upių žiočių zonoms, kur palikti laivai gali sukelti neigiamą poveikį aplinkai."
111,"(FR) Madam President, ladies and gentlemen, I am extremely pleased with the balanced nature of this report that sends out a positive signal to Turkey.","(FR) Ponia Pirmininke, ponios ir ponai, mane labai džiugina ši subalansuota ataskaita, kurios teiginiai siunčia Turkijai pozityvų signalą."
112,We expressed the European Union's deepest sympathy in numerous statements published in the aftermath of the disaster.,Daugybėje po katastrofos viešų pareiškimų išreiškėme giliausią Europos Sąjungos užuojautą.
113,"Which are the right mechanisms to avoid damage to competitiveness, or for consumers to have a choice?","Kokie mechanizmai padeda išvengti žalos konkurencingumui, arba užtikrina pasirinkimą vartotojams?"
114,"It is, of course, the only way to get Europeans to increase the growth in aid - they must be able to see that it is effective, as Jeffrey Sachs said so clearly recently.","Žinoma, tai - vienintelis būdas priversti europiečius pagreitinti pagalbos didėjimą - jie turi matyti, kad pagalba veiksminga, kaip neseniai tai aiškiai pasakJeffrey Sachs."
115,"Because Belarus is a dictatorship, the views of citizens who would like a more open and even westward-looking dialogue have no legal way of being heard.","Kadangi Baltarusijoje yra diktatūra, nėra legalaus būdo išgirsti tų piliečių nuomones, kurie norėtų atviresnio ir į vakarus orientuoto dialogo."
116,"Since the European Union finds it more difficult to reach consensus than the US, relations are, naturally, not straightforward.","Kadangi Europos Sąjungai sunkiau susitarti nei JAV, natūralu, kad santykiai nėra paprasti."
